,A,B,과목영역,전공영역,학수번호,교과목명,학점,이수시기,비고
0,교양필수,대학교교양필수,,,GEB1112,크로스오버 1 : 인간의 탐색,2.0,"1학년(1,2학기)",
1,교양필수,대학교교양필수,,,GEB1114,크로스오버 3 : 사회의 탐색,2.0,"1학년(1,2학기)",
2,교양필수,대학교교양필수,,,GEB1116,프로네시스 세미나,2.0,1학년(1학기),
3,교양필수,대학교교양필수,,,GEB1126,문제해결을 위한 글쓰기,3.0,1학년(1학기),
4,교양필수,대학교교양필수,,,GEB1142,미래사회와 소프트웨어-이공계열,3.0,1학년(2학기),
5,교양필수,대학교교양필수,,,GEB1151,커리어 디자인 2,1.0,3학년(1학기),
6,교양필수,대학교교양필수,,,GEB1107,의사소통 영어,3.0,1학년(2학기),일반과목군(지정 1과목)
7,교양필수,대학교교양필수,,,GEB1108,의사소통 영어: 중급,3.0,1학년(2학기),일반과목군(지정 1과목)
8,교양필수,대학교교양필수,,,GEB1109,의사소통 영어: 고급,3.0,1학년(2학기),일반과목군(지정 1과목)
9,교양필수,학과(부)교양필수,,,,"핵심교양-1.인간,가치,공존",3.0,전체,교양교과과정참조
10,교양필수,학과(부)교양필수,,,,"핵심교양-2.역사, 사상, 문화",3.0,전체,교양교과과정참조
11,교양필수,학과(부)교양필수,,,,"핵심교양-4.사회, 제도, 세계",3.0,전체,교양교과과정참조
12,교양필수,학과(부)교양필수,,,,"핵심교양-6.수리, 정보, 기술",3.0,전체,교양교과과정참조
13,교양필수,학과(부)교양필수,,,,창의,3.0,전체,교양교과과정참조
14,교양필수,학과(부)교양필수,,,,SW�AI,3.0,전체,교양교과과정참조
15,교양필수,계열교양영역,계열교양영역,,CHM1023,일반화학,3.0,"1학년(1,2학기)",7과목 중 위 16학점 교과목과 겹치지 않게 3학점 (택 3학점)
16,교양필수,계열교양영역,계열교양영역,,FAN1003,식품영양학개론,3.0,"1학년(1,2학기)",7과목 중 위 16학점 교과목과 겹치지 않게 3학점 (택 3학점)
17,교양필수,계열교양영역,계열교양영역,,MTH1001,일반수학 1,3.0,1학년(1학기),7과목 중 위 16학점 교과목과 겹치지 않게 3학점 (택 3학점)
18,교양필수,계열교양영역,계열교양영역,,MTH1002,일반수학 2,3.0,1학년(2학기),7과목 중 위 16학점 교과목과 겹치지 않게 3학점 (택 3학점)
19,교양필수,계열교양영역,계열교양영역,,OCN1005,일반해양학,3.0,"1학년(1,2학기)",7과목 중 위 16학점 교과목과 겹치지 않게 3학점 (택 3학점)
20,교양필수,계열교양영역,계열교양영역,,PHY1005,일반물리학,3.0,"1학년(1,2학기)",7과목 중 위 16학점 교과목과 겹치지 않게 3학점 (택 3학점)
