,A,B,과목영역,전공영역,학수번호,교과목명,학점,이수시기,비고
0,교양필수,대학교교양필수,기초교양 영역,,GEB1116,프로네시스 세미나,2.0,1학년(1학기),
1,교양필수,대학교교양필수,기초교양 영역,,GEB1126,문제해결을 위한 글쓰기,3.0,1학년(1학기),
2,교양필수,대학교교양필수,기초교양 영역,,GEB1143,미래사회와 소프트웨어-IT계열,3.0,1학년(2학기),
3,교양필수,대학교교양필수,기초교양 영역,,GEB1151,커리어 디자인 2,1.0,3학년(1학기),
4,교양필수,대학교교양필수,기초교양 영역,,GEB1107,의사소통 영어,3.0,1학년(2학기),일반과목군(지정 1과목)
5,교양필수,대학교교양필수,기초교양 영역,,GEB1108,의사소통 영어: 중급,3.0,1학년(2학기),일반과목군(지정 1과목)
6,교양필수,대학교교양필수,기초교양 영역,,GEB1109,의사소통 영어: 고급,3.0,1학년(2학기),일반과목군(지정 1과목)
7,교양필수,대학교교양필수,중점교양 영역,,GEB1112,크로스오버 1 : 인간의 탐색,2.0,1학년(1학기),
8,교양필수,대학교교양필수,중점교양 영역,,GEB1114,크로스오버 3 : 사회의 탐색,2.0,"1학년(1,2학기)",
9,교양필수,학과(부)교양필수,,,,"핵심교양-1.인간,가치,공존",3.0,전체,교양교과과정참조
10,교양필수,학과(부)교양필수,,,,"핵심교양-2.역사, 사상, 문화",3.0,전체,교양교과과정참조
11,교양필수,학과(부)교양필수,,,,"핵심교양-3.문학, 예술, 상징",3.0,전체,교양교과과정참조
12,교양필수,학과(부)교양필수,,,,"핵심교양-6.수리, 정보, 기술",3.0,전체,교양교과과정참조
13,교양필수,학과(부)교양필수,,,,SW�AI,3.0,전체,교양교과과정참조
14,교양필수,계열교양영역,계열교양 영역,,ACE2101,공업수학 1,3.0,2학년(1학기),
15,교양필수,계열교양영역,계열교양 영역,,ACE2102,공업수학 2,3.0,2학년(2학기),
16,교양필수,계열교양영역,계열교양 영역,,CHM1023,일반화학,3.0,1학년(1학기),
17,교양필수,계열교양영역,계열교양 영역,,CHM1027,일반화학실험,1.0,1학년(1학기),
18,교양필수,계열교양영역,계열교양 영역,,FVE2007,Python프로그래밍,3.0,1학년(2학기),
19,교양필수,계열교양영역,계열교양 영역,,FVE3010,객체지향프로그래밍,3.0,2학년(1학기),
20,교양필수,계열교양영역,계열교양 영역,,MTH1001,일반수학 1,3.0,1학년(1학기),
21,교양필수,계열교양영역,계열교양 영역,,MTH1002,일반수학 2,3.0,1학년(2학기),
22,교양필수,계열교양영역,계열교양 영역,,PHY1001,물리학 1,3.0,1학년(1학기),
23,교양필수,계열교양영역,계열교양 영역,,PHY1002,물리학 2,3.0,1학년(2학기),
24,교양필수,계열교양영역,계열교양 영역,,PHY1003,물리학실험 1,1.0,1학년(1학기),
25,교양필수,계열교양영역,계열교양 영역,,PHY1004,물리학실험 2,1.0,1학년(2학기),
26,전공필수,,공통,,FVE3002,자동제어,3.0,3학년(1학기),
27,전공필수,,공통,,SME2001,모빌리티동역학,3.0,3학년(1학기),
28,전공필수,,공통,,SME2002,전기회로,3.0,2학년(1학기),
29,전공필수,,공통,,SME2003,스마트모빌리티기초실험,1.0,2학년(1학기),
30,전공필수,,공통,,SME2006,스마트모빌리티공학실험1,1.0,2학년(2학기),
31,전공필수,,공통,,SME2008,자료구조,3.0,2학년(2학기),
32,전공필수,,공통,,SME2009,실시간 데이터 해석,3.0,3학년(1학기),
33,전공필수,,공통,,SME2010,확률 및 랜덤변수,3.0,2학년(2학기),
34,전공필수,,공통,,SME2011,신호및시스템,3.0,2학년(2학기),
35,전공필수,,공통,,SME3001,스마트모빌리티공학실험 2,1.0,3학년(2학기),
36,전공필수,,공통,,SME3002,선형대수,3.0,3학년(1학기),
37,전공필수,,공통,,SME4001,스마트모빌리티공학종합설계,3.0,4학년(2학기),
38,전공선택,,도심항공 Mobility,,ASE3061,비행역학,3.0,3학년(2학기),
39,전공선택,,자율주행 Mobility,,FVE3007,자율주행자동차기술,2.0,3학년(2학기),
40,전공선택,,자율주행 Mobility,,FVE3011,자동차인공지능,3.0,4학년(1학기),
41,전공선택,,자율주행 Mobility,,FVE4010,차량비전시스템,3.0,4학년(2학기),
42,전공선택,,자율주행 Mobility,,FVE4017,자율주행위치인식,3.0,4학년,
43,전공선택,,자율주행 Mobility,,FVE4026,자율주행V2X통신,3.0,3학년(2학기),
44,전공선택,,자율주행 Mobility,,SME3006,기계학습,3.0,3학년(2학기),
45,전공선택,,자율주행 Mobility,,SME4002,통합모빌리티서비스,1.0,4학년(2학기),
46,전공선택,,전동화 Mobility,,FVE3004,전자회로,3.0,2학년(2학기),
47,전공선택,,전동화 Mobility,,FVE3015,마이크로프로세서응용,3.0,4학년(1학기),
48,전공선택,,전동화 Mobility,,FVE4001,차량동역학,3.0,4학년(2학기),
49,전공선택,,전동화 Mobility,,FVE4007,전력전자공학,3.0,4학년(1학기),
50,전공선택,,전동화 Mobility,,FVE4008,하이브리드 및 전기자동차,3.0,4학년(2학기),
51,전공선택,,전동화 Mobility,,FVE4012,차량신호처리,3.0,3학년(1학기),
52,전공선택,,전동화 Mobility,,FVE4014,모터이론및제어,3.0,4학년(1학기),
53,전공선택,,전동화 Mobility,,SME3003,통신시스템,3.0,3학년(1학기),
54,전공선택,,전동화 Mobility,,SME3004,디지털제어시스템,3.0,3학년(2학기),
55,전공선택,,전동화 Mobility,,SME3005,전기기기,3.0,3학년(2학기),
