course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes
EMT1125-001,EMT1125,001,미분적분학1 및 연습,1,4.0,전공필수,"수4,5,6,7,금3,4,5,6,7,8(서-328)",박제남,절대평가, 
EMT1135-001,EMT1135,001,집합론,1,3.0,전공선택,"월16,17,18,목16,17,18(서-243A)",유원석,상대평가, 
EMT1234-001,EMT1234,001,수학논리 및 논술,1,3.0,전공선택,"수13,14,15,16,17,18(서-328)",김상훈,상대평가, 
EMT2241-001,EMT2241,001,선형대수,2,3.0,전공필수,"화1,2,3,목1,2,3(서-243A)",남궁정일,상대평가, 
EMT2241-002,EMT2241,002,선형대수,2,3.0,전공필수,"월7,8,9,목7,8,9(서-341)",유원석,상대평가, 
EMT2243-001,EMT2243,001,해석학,2,3.0,전공필수,"화10,11,12,목10,11,12(서-243A)",명성,상대평가, 
EMT2243-002,EMT2243,002,해석학,2,3.0,전공필수,"화10,11,12,목10,11,12(서-341)",남궁정일,상대평가, 
EMT2347-001,EMT2347,001,확률 및 통계,2,3.0,전공필수,"수13,14,15,목13,14,15(서-243A)",박진호,상대평가, 
EMT3351-001,EMT3351,001,융합형 수학과 교육과정,2,3.0,전공선택,"수5,6(서-243A) /목13,14,15,16(서-341)","권나영,김소민",상대평가, 
EMT3341-001,EMT3341,001,현대대수학,3,3.0,전공필수,"월13,14,15,화13,14,15(서-328)",명성,상대평가, 
EMT3343-001,EMT3343,001,위상수학,3,3.0,전공필수,"화10,11,12,목10,11,12(서-328)",이윤원,상대평가, 
EMT3343-002,EMT3343,002,위상수학,3,3.0,전공필수,"월16,17,18,화16,17,18(서-341)",이윤원,상대평가, 
EMT3345-001,EMT3345,001,복소해석학,3,3.0,전공필수,"화4,5,6,목4,5,6(서-341)",남궁정일,상대평가, 
EMT3349-001,EMT3349,001,미분기하학,3,3.0,전공필수,"월10,11,12,수10,11,12(서-328)",이윤원,상대평가, 
EMT3352-001,EMT3352,001,학교수학 평가 이론과 실제,3,3.0,전공필수,"수13,14,15,16,17,18(서-341)",김소민,상대평가, 
EDC4109-011,EDC4109,011,교육실습,4,2.0,교직과정,"수4,5,6,7(서-341)",권나영,절대평가, 
EMT4434-001,EMT4434,001,현대수학의 이해,4,3.0,전공선택,"월7,8,9,화4,5,6(서-243A)","이윤원,명성",상대평가, 
