A,B,과목영역,전공영역,학수번호,교과목명,학점,이수시기,비고
교양필수,대학교교양필수,기초교양,,GEB1116,프로네시스 세미나,2.0,1학년(1학기),
교양필수,대학교교양필수,기초교양,,GEB1126,문제해결을 위한 글쓰기,3.0,1학년(1학기),
교양필수,대학교교양필수,기초교양,,GEB1143,미래사회와 소프트웨어-IT계열,3.0,1학년(2학기),
교양필수,대학교교양필수,기초교양,,GEB1151,커리어 디자인 2,1.0,3학년(1학기),
교양필수,대학교교양필수,기초교양,,GEB1107,의사소통 영어,3.0,1학년(2학기),일반과목군(지정 1과목)
교양필수,대학교교양필수,기초교양,,GEB1108,의사소통 영어: 중급,3.0,1학년(2학기),일반과목군(지정 1과목)
교양필수,대학교교양필수,기초교양,,GEB1109,의사소통 영어: 고급,3.0,1학년(2학기),일반과목군(지정 1과목)
교양필수,대학교교양필수,중점교양,,GEB1112,크로스오버 1 : 인간의 탐색,2.0,1학년(1학기),
교양필수,대학교교양필수,중점교양,,GEB1114,크로스오버 3 : 사회의 탐색,2.0,"1학년(1,2학기)",
교양필수,학과(부)교양필수,,,,"핵심교양-1.인간,가치,공존(공학인증)",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,"핵심교양-2.역사, 사상, 문화",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,"핵심교양-4.사회, 제도, 세계",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,"핵심교양-6.수리, 정보, 기술",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,창의,3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,SW�AI,3.0,전체,교양교과과정참조
교양필수,계열교양영역,계열교양,,ACE1204,생명과학,4.0,1학년(2학기),
교양필수,계열교양영역,계열교양,,ACE2101,공업수학 1,3.0,2학년(1학기),
교양필수,계열교양영역,계열교양,,ACE2102,공업수학 2,3.0,2학년(2학기),
교양필수,계열교양영역,계열교양,,ACE2105,선형대수,3.0,2학년(1학기),
교양필수,계열교양영역,계열교양,,ICE1004,객체지향프로그래밍,3.0,1학년(2학기),
교양필수,계열교양영역,계열교양,,ICE1005,인공지능 프로그래밍기초,3.0,1학년(1학기),
교양필수,계열교양영역,계열교양,,MTH1001,일반수학 1,3.0,1학년(1학기),
교양필수,계열교양영역,계열교양,,MTH1002,일반수학 2,3.0,1학년(2학기),
교양필수,계열교양영역,계열교양,,PHY1001,물리학 1,3.0,1학년(1학기),
교양필수,계열교양영역,계열교양,,PHY1002,물리학 2,3.0,1학년(2학기),
교양필수,계열교양영역,계열교양,,PHY1003,물리학실험 1,1.0,1학년(1학기),
교양필수,계열교양영역,계열교양,,PHY1004,물리학실험 2,1.0,1학년(2학기),
전공필수,,공통과정,전공기반,ICE1001,정보통신입문,3.0,1학년(1학기),
전공필수,,공통과정,전공기반,ICE1002,창의적 정보통신공학설계,3.0,1학년(2학기),
전공필수,,공통과정,전공기반,ICE2002,회로이론,3.0,2학년(1학기),
전공필수,,공통과정,전공기반,ICE2003,전자기학 1,3.0,2학년(1학기),
전공필수,,공통과정,전공기반,ICE2004,자료구조론,3.0,2학년(2학기),
전공필수,,공통과정,전공기반,ICE2005,전자회로 1,3.0,2학년(2학기),
전공필수,,공통과정,전공기반,ICE2006,정보통신기초설계/실습 1,1.0,2학년(1학기),
전공필수,,공통과정,전공기반,ICE2007,정보통신기초설계/실습 2,1.0,2학년(2학기),
전공필수,,공통과정,,ICE2014,디지털논리회로,3.0,2학년(2학기),
전공필수,,공통과정,전공기반,ICE3001,신호및시스템,3.0,2학년(2학기),
전공필수,,공통과정,전공집중,ICE4024,정보통신종합설계,3.0,"4학년(1,2학기)",
전공선택,,공통과정,전공핵심,ICE3002,확률변수론,3.0,3학년(1학기),
전공선택,,공통과정,전공핵심,ICE3003,수치해석,3.0,3학년(2학기),
전공선택,,공통과정,전공핵심,ICE4004,컴퓨터구조론,3.0,3학년(2학기),
전공선택,,공통과정,전공핵심,ICE4008,컴퓨터네트워크,3.0,3학년(2학기),
전공선택,,공통과정,전공핵심,ICE4400,기업연계형 정보통신시스템,3.0,"4학년(1,2학기)",
전공선택,,반도체 및 집적회로,전공핵심,ICE2010,전자기학 2,3.0,3학년(2학기),
전공선택,,반도체 및 집적회로,전공핵심,ICE3005,전자회로 2,3.0,3학년(1학기),
전공선택,,반도체 및 집적회로,전공핵심,ICE3017,광통신공학설계,4.0,4학년(2학기),
전공선택,,반도체 및 집적회로,전공핵심,ICE3104,반도체공학,3.0,3학년(1학기),
전공선택,,반도체 및 집적회로,전공핵심,ICE3106,아날로그 집적회로설계,4.0,3학년(2학기),
전공선택,,반도체 및 집적회로,전공핵심,ICE4001,광자공학기초,3.0,3학년(1학기),
전공선택,,반도체 및 집적회로,전공핵심,ICE4003,광집적회로,3.0,3학년(1학기),
전공선택,,반도체 및 집적회로,전공핵심,ICE4005,디지털시스템설계,4.0,3학년(1학기),
전공선택,,반도체 및 집적회로,전공집중,ICE4006,디지털집적회로설계,4.0,3학년(2학기),
전공선택,,반도체 및 집적회로,전공핵심,ICE4031,광전자공학,3.0,4학년(2학기),
전공선택,,반도체 및 집적회로,,ICE4032,시스템반도체설계,3.0,4학년(1학기),
전공선택,,컴퓨터소프트웨어,전공핵심,ICE2013,객체지향프로그래밍 응용,3.0,2학년(1학기),
전공선택,,컴퓨터소프트웨어,전공핵심,ICE3013,시스템프로그래밍,3.0,3학년(1학기),
전공선택,,컴퓨터소프트웨어,전공핵심,ICE3014,오퍼레이팅시스템,3.0,3학년(2학기),
전공선택,,컴퓨터소프트웨어,전공집중,ICE3015,임베디드시스템설계,4.0,4학년(1학기),
전공선택,,컴퓨터소프트웨어,전공핵심,ICE3016,컴퓨터그래픽스설계,4.0,3학년(2학기),
전공선택,,컴퓨터소프트웨어,전공핵심,ICE3020,알고리즘설계,4.0,3학년(1학기),
전공선택,,컴퓨터소프트웨어,전공핵심,ICE3112,모바일 소프트웨어,3.0,3학년(1학기),
전공선택,,컴퓨터소프트웨어,전공핵심,ICE4016,데이터베이스설계,4.0,4학년(2학기),
전공선택,,컴퓨터소프트웨어,전공핵심,ICE4019,지능정보시스템,3.0,4학년(2학기),
전공선택,,컴퓨터소프트웨어,전공핵심,ICE4020,정보보호론,3.0,4학년(2학기),
전공선택,,컴퓨터소프트웨어,전공핵심,ICE4103,소프트웨어공학,3.0,3학년(1학기),
전공선택,,컴퓨터소프트웨어,,ICE4104,인공지능 응용,3.0,4학년(1학기),
