course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes
EDC1111-001,EDC1111,001,사회 변화와 교사 역량,1,2.0,교양필수,"화3,4,5,6(60주년-510)",박지인,상대평가, 
EDC1111-002,EDC1111,002,사회 변화와 교사 역량,1,2.0,교양필수,"수3,4,5,6(60주년-510)",박지인,상대평가, 
EDC1111-003,EDC1111,003,사회 변화와 교사 역량,1,2.0,교양필수,"수9,10,11,12(60주년-508)",박지인,상대평가, 
SSE1111-001,SSE1111,001,정치와 사회,1,3.0,전공필수,"월13,14,15,16,17,18(서-237A)",정동준,상대평가, 
SSE1111-002,SSE1111,002,정치와 사회,1,3.0,전공필수,"화13,14,15,16,17,18(서-228)",정동준,상대평가, 
SSE1241-001,SSE1241,001,문화와 교육,1,3.0,전공선택,"화1,2,3,4,5,6(서-228)","김영순,정경희",상대평가, 
SSE1241-002,SSE1241,002,문화와 교육,1,3.0,전공선택,"화1,2,3,4,5,6(서-308)","김영순,정경희",상대평가, 
SSE1251-001,SSE1251,001,법교육 개론,1,3.0,전공선택,"금10,11,12,13,14,15(서-228)",김경래,상대평가, 
SSE1131-001,SSE1131,001,인간과 사회,2,3.0,전공필수,"월13,14,15,16,17,18(서-308)","김지훈,이태정",상대평가, 
SSE1131-002,SSE1131,002,인간과 사회,2,3.0,전공필수,"월19,20,21,22,23,24(서-308)","김지훈,이태정",상대평가, 
SSE2243-001,SSE2243,001,한국문화의 창의적 탐색,2,3.0,전공선택,"목13,14,15,16,17,18(서-237A)",정경희,상대평가, 
SSE2252-001,SSE2252,001,범죄와 형벌,2,3.0,전공선택,"화13,14,15,16,17,18(서-237A)",김계황,상대평가, 
SSE2261-001,SSE2261,001,사회과 평가론,2,3.0,전공선택,"목13,14,15,16,17,18(서-228)",박선미,절대평가, 
SSE2371-001,SSE2371,001,인문지리학,2,3.0,전공선택,"월7,8,9,10,11,12(서-308)",김종혁,상대평가, 
SSE2101-001,SSE2101,001,통합사회교육론,3,3.0,전공선택,"금4,5,6,7,8,9(서-308)",김경래,상대평가, 
SSE3132-001,SSE3132,001,사회과학방법론,3,3.0,전공필수,"화13,14,15,16,17,18(서-308)","김지훈,이태정",상대평가, 
SSE3132-002,SSE3132,002,사회과학방법론,3,3.0,전공필수,"화19,20,21,22,23,24(서-308)","김지훈,이태정",상대평가, 
SSE3222-001,SSE3222,001,경제교육과 국가경제,3,3.0,전공선택,"월10,11,12,수10,11,12(서-228)",장경호,상대평가, 
SSE4164-001,SSE4164,001,사회과 논리 및 논술,3,3.0,전공필수,"월13,14,15,16,17,18(서-228)",박선미,절대평가, 
SSE4164-002,SSE4164,002,사회과 논리 및 논술,3,3.0,전공필수,"목13,14,15,16,17,18(서-308)",정혜온,절대평가, 
EDC4108-002,EDC4108,002,교직실무,4,2.0,교직과정,"화19,20,21,22(서-228)",박지연,절대평가, 
EDC4109-006,EDC4109,006,교육실습,4,2.0,교직과정,"수5,6,7,8(서-308)",정이화,절대평가, 
EDC4109-007,EDC4109,007,교육실습,4,2.0,교직과정,"수9,10,11,12(서-308)",정이화,절대평가, 
SSE4224-001,SSE4224,001,시장경제의 탐구와 연습,4,3.0,전공선택,"월13,14,15,수13,14,15(5동208A)",장경호,상대평가, 
SSE4314-001,SSE4314,001,비교민주주의론,4,3.0,전공선택,"목1,2,3,4,5,6(서-308)",정혜온,상대평가, 
SSE4351-001,SSE4351,001,사회문제와 법,4,3.0,전공선택,"월1,2,3,4,5,6(서-308)",정상우,상대평가, 
