course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes
HUM1041-004,HUM1041,004,한문 1,전체,3.0,교양필수,"월13,14,15,수13,14,15(5남454)",김우석,상대평가, 
CHN1005-001,CHN1005,001,중국학 입문,1,3.0,전공선택,"화1,2,3,금1,2,3(5남454)",김우석,상대평가, 
CHN1005-002,CHN1005,002,중국학 입문,1,3.0,전공선택,"화1,2,3,금1,2,3(5남509)",김은영,상대평가, 
HUM1011-001,HUM1011,001,중국어 1,1,3.0,교양필수,"월4,5,6,수4,5,6(5남407)",고은미,상대평가, 
HUM1011-002,HUM1011,002,중국어 1,1,3.0,교양필수,"화4,5,6(5남521) /목4,5,6(5남331)",박나현,상대평가, 
HUM1011-003,HUM1011,003,중국어 1,1,3.0,교양필수,"화10,11,12(5남531) /목10,11,12(5동102)",박나현,상대평가, 
HUM1011-004,HUM1011,004,중국어 1,1,3.0,교양필수,"월7,8,9,수7,8,9(5남531)",류류,상대평가, 
HUM1011-005,HUM1011,005,중국어 1,1,3.0,교양필수,"화7,8,9,목7,8,9(5동208A)",이유라,상대평가, 
HUM1011-006,HUM1011,006,중국어 1,1,3.0,교양필수,"화13,14,15,목13,14,15(5동102)",신향숙,상대평가, 
CHN2005-001,CHN2005,001,중국어학개론,2,3.0,전공선택,"화7,8,9,목7,8,9(5남531)",박나현,상대평가, 
CHN2009-001,CHN2009,001,중국어회화 1,2,3.0,전공선택,"월10,11,12,수10,11,12(5남509)",소영,상대평가, 
CHN2009-002,CHN2009,002,중국어회화 1,2,3.0,전공선택,"월4,5,6,수4,5,6(5남454)",소영,상대평가, 
CHN2011-001,CHN2011,001,집중중국어 1,2,3.0,전공필수,"월13,14,15,목13,14,15(5남531)",백은희,상대평가, 
CHN2011-002,CHN2011,002,집중중국어 1,2,3.0,전공필수,"화16,17,18,목16,17,18(5남454)",소영,상대평가, 
CHN2011-003,CHN2011,003,집중중국어 1,2,3.0,전공필수,"화4,5,6,목4,5,6(5남454)",김은영,상대평가, 
CHN2111-001,CHN2111,001,중국문학개론,2,3.0,전공선택,"화4,5,6,목4,5,6(5남531)",민정기,상대평가, 
CHN2339-001,CHN2339,001,중국지역 탐구,2,3.0,전공선택,"월7,8,9,수7,8,9(5남509)",민정기,상대평가, 
CHN3113-002,CHN3113,002,중국어주제토론 1,3,3.0,전공선택,"화13,14,15,목13,14,15(5남454)",소영,절대평가,Chinese
CHN3115-001,CHN3115,001,중국어문법,3,3.0,전공선택,"화4,5,6,목4,5,6(5남509)",백은희,상대평가, 
CHN3117-001,CHN3117,001,중국사상의 이해,3,3.0,전공선택,"월13,14,15,수13,14,15(5남509)",차태근,상대평가, 
CHN3121-001,CHN3121,001,중국어글쓰기 1,3,3.0,전공선택,"월7,8,9,수7,8,9(5남454)",전성광,절대평가,Chinese
CHN3121-002,CHN3121,002,중국어글쓰기 1,3,3.0,전공선택,"월10,11,12,수10,11,12(5남454)",전성광,절대평가,Chinese
CHN3229-001,CHN3229,001,현대 중국의 문학과 예술,3,3.0,전공선택,"화10,11,12,목10,11,12(5남509)",김은영,상대평가, 
CHN3231-001,CHN3231,001,4차 산업혁명과 중국의 기술혁신,3,3.0,전공선택,"월4,5,6,수4,5,6(5남531)",김용신,상대평가, 
CHN4101-001,CHN4101,001,비즈니스 중국어,4,3.0,전공선택,"화7,8,9,목7,8,9(5남454)",신향숙,절대평가,Chinese
CHN4102-001,CHN4102,001,시사 중국어 독해,4,3.0,전공선택,"월16,17,18,수16,17,18(5남454)",전성광,절대평가,Chinese
CHN4235-001,CHN4235,001,중국어프레젠테이션,4,3.0,전공필수,"화10,11,12,목10,11,12(5남454)",전성광,절대평가,Chinese
CHN4235-002,CHN4235,002,중국어프레젠테이션,4,3.0,전공필수,"화13,14,15,목13,14,15(5남509)",전성광,절대평가,Chinese
CHN4341-001,CHN4341,001,중국지역학주제설계,4,3.0,전공필수,"수1,2,3(5남454) /금1,2,3(5남531)",차태근,Pass/Fail, 
CHN4341-002,CHN4341,002,중국지역학주제설계,4,3.0,전공필수,"화1,2,3,목1,2,3(5남531)",민정기,Pass/Fail, 
