course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes
IEN2202-001,IEN2202,001,파이썬 프로그래밍,전체,3.0,전공선택,"수13,14,15,16,17,18(2북474)",이현록,상대평가, 
IEN2202-002,IEN2202,002,파이썬 프로그래밍,전체,3.0,전공선택,"금16,17,18,19,20,21(2북474)",송종수,상대평가, 
MTH1001-008,MTH1001,008,일반수학 1,전체,3.0,교양필수,"월13,14,15,수13,14,15(5동105A)",권훈,상대평가, 
PHY1001-008,PHY1001,008,물리학 1,전체,3.0,교양필수,"화4,5,6,목7,8,9(5동405)",김말진,상대평가, 
PHY1003-008,PHY1003,008,물리학실험 1,전체,1.0,교양필수,"화9,10,11,12(5동315)",김현철,절대평가, 
ACE1301-007,ACE1301,007,정보사회와컴퓨터,1,3.0,교양필수,"화1,2,3(2북464) /목4,5,6(2북474)",이석환,절대평가, 
ACE1301-008,ACE1301,008,정보사회와컴퓨터,1,3.0,교양필수,"화16,17,18(2북464) /목10,11,12(2북474)",이석환,절대평가, 
ACE2101-006,ACE2101,006,공업수학 1,2,3.0,교양필수,"목13,14,15,16,17,18(2북671)",허영범,상대평가, 
IEN2004-001,IEN2004,001,경영공학,2,3.0,전공필수,"월1,2,3,4,5,6(2북671)",박동현,상대평가, 
IEN2004-002,IEN2004,002,경영공학,2,3.0,전공필수,"목16,17,18(2북666) /금10,11,12(2북671)",이희남,상대평가, 
IEN2007-001,IEN2007,001,공업회계,2,3.0,전공선택,"월13,14,15,화13,14,15(2북464)",윤선주,상대평가, 
IEN2008-001,IEN2008,001,데이터베이스,2,3.0,전공선택,"화13,14,15,목13,14,15(2북474)",이현록,상대평가, 
IEN2014-001,IEN2014,001,확률 및 통계,2,3.0,전공필수,"월7,8,9,수7,8,9(2북671)",임세실,상대평가, 
IEN2014-002,IEN2014,002,확률 및 통계,2,3.0,전공필수,"목19,20,21,금13,14,15(2북671)",이희남,상대평가, 
IEN3015-001,IEN3015,001,통계적공정관리,3,3.0,전공선택,"금4,5,6,7,8,9(2북671)",이희남,상대평가, 
IEN3016-001,IEN3016,001,경영과학 2,3,3.0,전공선택,"화10,11,12,목10,11,12(2북671)",이현록,상대평가, 
IEN3024-001,IEN3024,001,산업공학실험,3,2.0,전공필수,"화1,2,3,4,5,6,7,8(2북474)",박동현,절대평가, 
IEN3024-002,IEN3024,002,산업공학실험,3,2.0,전공필수,"월1,2,3,4,5,6,7,8(2북670A)",강성우,절대평가, 
IEN3024-003,IEN3024,003,산업공학실험,3,2.0,전공필수,"수1,2,3,4,5,6,7,8(2북474)",강성우,절대평가, 
IEN3030-001,IEN3030,001,딥러닝,3,3.0,전공선택,"월13,14,15,16,17,18(2북671)",이우기,상대평가, 
IEN3202-001,IEN3202,001,산업정보화,3,3.0,전공선택,"목16,17,18,19,20,21(2북474)",송종수,절대평가,"영어, English"
IEN3202-002,IEN3202,002,산업정보화,3,3.0,전공선택,"금10,11,12,13,14,15(2북474)",송종수,절대평가,"영어, English"
IEN4023-001,IEN4023,001,산업공학종합설계,4,3.0,전공필수,"화10,11,12,13,14,15(2북475A)",이우기,Pass/Fail, 
IEN4103-001,IEN4103,001,생산경제학,4,3.0,전공선택,"수13,14,15,16,17,18(2북671)",오동현,절대평가,"영어, English"
IEN4104-001,IEN4104,001,생산통제,4,3.0,전공선택,"화4,5,6(2북464) /목1,2,3(2북671)",이석환,상대평가, 
IEN4114-001,IEN4114,001,품질경영,4,3.0,전공선택,"목13,14,15,16,17,18(2북464)",강성우,상대평가, 
IEN4116-001,IEN4116,001,고급기계학습,4,3.0,전공선택,"화16,17,18,19,20,21(2북474)",허영범,상대평가, 
IEN4118-001,IEN4118,001,신기술시장분석,4,3.0,전공선택,"월16,17,18,19,20,21,22,23(2북464)",임세실,절대평가, 
IEN4206-001,IEN4206,001,특허정보론,4,3.0,전공선택,"월10,11,12,수10,11,12(2북671)",이우기,절대평가,"영어,English"
